Gene,Log2_FC,P_Value,Significant
Gene_15,0.7670583231338028,6.64598297495626e-08,Yes
Gene_4,0.7655260891885237,2.6657459318008663e-08,Yes
Gene_2,0.5913950300417217,9.139592956106294e-06,Yes
Gene_19,0.5831651928305026,7.190842480677678e-05,Yes
Gene_11,0.5746189438176185,2.2685552565756875e-08,Yes
Gene_9,0.5394730477525274,1.6886718682203199e-06,Yes
Gene_17,0.5297994276469009,4.1826739663086675e-05,Yes
Gene_14,0.5088167090709849,5.035150985676947e-05,Yes
Gene_1,0.47268799546086276,0.00046119380360957026,Yes
Gene_18,0.45800628842664326,1.4580054751893843e-05,Yes
Gene_13,0.45315351245894325,0.00015201529877761693,Yes
Gene_20,0.43532121388334327,0.00047232866476571545,Yes
Gene_5,0.3940149440420909,0.0013474399502333282,Yes
Gene_8,0.39387093441840376,0.0008589384642623874,Yes
Gene_6,0.3931544008508922,0.0009786009485796621,Yes
Gene_12,0.3839525053244387,0.007833702890532916,Yes
Gene_10,0.33585769442273217,0.004678947906604135,Yes
Gene_7,0.33124903239481024,0.00834632327897556,Yes
Gene_16,0.32979927268355963,0.0010096083941619927,Yes
Gene_3,0.3186157067422584,0.023408542218468845,Yes
